company,year,metric,value,source,comments,answer_url,item_url
JD Sports Fashion plc,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+JD_Sports_Fashion_plc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+JD_Sports_Fashion_plc+2025.json
"New Balance Athletic Shoe, Inc.",2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Balance_Athletic_Shoe_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Balance_Athletic_Shoe_Inc+2025.json
Brunello Cucinelli,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Brunello_Cucinelli.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Brunello_Cucinelli+2025.json
TOD'S,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+TOD_S.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+TOD_S+2025.json
Fast Retailing,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Fast_Retailing.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Fast_Retailing+2025.json
Steve Madden,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Steve_Madden.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Steve_Madden+2025.json
Boohoo.com,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Boohoo_com.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Boohoo_com+2025.json
Nordstrom,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Nordstrom.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Nordstrom+2025.json
Semir,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Semir.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Semir+2025.json
LL Bean,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+LL_Bean.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+LL_Bean+2025.json
Capri Holdings Ltd (formerly Michael Kors),2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Capri_Holdings_Ltd_formerly_Michael_Kors.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Capri_Holdings_Ltd_formerly_Michael_Kors+2025.json
Woolworths Holdings Limited,2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Woolworths_Holdings_Limited.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Woolworths_Holdings_Limited+2025.json
Ted Baker,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ted_Baker.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ted_Baker+2025.json
Hudson's Bay Company,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hudson_s_Bay_Company.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hudson_s_Bay_Company+2025.json
Sainsbury's,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Sainsbury_s.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Sainsbury_s+2025.json
Forever 21,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Forever_21.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Forever_21+2025.json
Kmart Australia,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kmart_Australia.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kmart_Australia+2025.json
Kohl's,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kohl_s.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Kohl_s+2025.json
Decathlon Group,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Decathlon_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Decathlon_Group+2025.json
John Lewis,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+John_Lewis.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+John_Lewis+2025.json
Ross Stores,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ross_Stores.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ross_Stores+2025.json
S.Oliver,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+S_Oliver.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+S_Oliver+2025.json
Giorgio Armani SpA,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Giorgio_Armani_SpA.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Giorgio_Armani_SpA+2025.json
Mizuno Corporation,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Mizuno_Corporation.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Mizuno_Corporation+2025.json
Salvatore Ferragamo SpA,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Salvatore_Ferragamo_SpA.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Salvatore_Ferragamo_SpA+2025.json
Zalando SE,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Zalando_SE.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Zalando_SE+2025.json
Marimekko,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Marimekko.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Marimekko+2025.json
"Dillard's, Inc.",2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dillard_s_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Dillard_s_Inc+2025.json
Carter's Inc,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Carter_s_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Carter_s_Inc+2025.json
Lacoste,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lacoste.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lacoste+2025.json
Fendi,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Fendi.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Fendi+2025.json
Truworths,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Truworths.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Truworths+2025.json
Ralph Lauren Corporation,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ralph_Lauren_Corporation.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ralph_Lauren_Corporation+2025.json
DSW Inc.,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+DSW_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+DSW_Inc+2025.json
Moncler,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Moncler.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Moncler+2025.json
New Look Retail Group,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Look_Retail_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Look_Retail_Group+2025.json
Airwair International Ltd (Dr Martens),2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Airwair_International_Ltd_Dr_Martens.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Airwair_International_Ltd_Dr_Martens+2025.json
REI,2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+REI.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+REI+2025.json
Asos,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Asos.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Asos+2025.json
"Brooks Sports, Inc",2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Brooks_Sports_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Brooks_Sports_Inc+2025.json
Lindex,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lindex.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lindex+2025.json
American Eagle Outfitters,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+American_Eagle_Outfitters.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+American_Eagle_Outfitters+2025.json
Guess? Inc,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Guess_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Guess_Inc+2025.json
Quiksilver Inc,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Quiksilver_Inc.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Quiksilver_Inc+2025.json
Columbia Sportswear,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Columbia_Sportswear.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Columbia_Sportswear+2025.json
